@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normal}

@DATA
0.068595,0.053956,3.012009,0.176708,0.210938,0.696132,0.019433,0.105455,-24.330964,2.619900,0.085585,0.396241,-0.081287,0.171705,0.266465,0.387933,0.063252,0.025134,-0.166509,0.150704,-0.139146,0.007314,0.004477,0.048665,0.006188,0.029808,0.004871,0.057200,0.000592,0.003268,0.029000,0.078808,0.003423,0.035849,0.043987,0.048220,0.249876,0.026666,0.014335,0.490795,0.010661,0.066094,2.621178,0.451426,0.761079,0.316060,0.426466,0.446254,0.361927,0.198085,0.285655,0.155480,0.236386,0.181276,0.191346,0.007682,0.004997,0.047988,0.005753,0.038045,0.005078,0.047668,0.000749,0.003021,0.029882,0.061527,0.005290,0.014594,normal
0.132106,0.015653,2.827464,0.232232,0.214306,1.231060,0.019487,0.235515,-26.062762,1.545766,-0.392052,1.108074,0.303034,0.567982,0.443969,0.094918,-0.112420,0.254279,-0.166037,0.030713,0.329792,0.004469,0.003110,0.069955,0.004415,0.029686,0.003652,0.065216,0.004705,0.002406,0.007362,0.035851,0.001995,0.035209,0.085777,0.013131,0.213283,0.064846,0.016712,0.669777,0.008514,0.177192,2.285388,0.954392,0.449703,0.324223,0.430991,0.205098,0.220653,0.116526,0.158956,0.165667,0.226804,0.127580,0.132464,0.003747,0.004649,0.076147,0.004246,0.028224,0.003096,0.056413,0.004788,0.001203,0.005693,0.031446,0.002135,0.020410,normal
0.124444,0.003455,2.681811,0.206499,0.169951,0.986540,0.009601,0.174569,-34.097030,0.744045,0.203762,0.194153,-0.417254,0.061629,0.025366,0.180514,0.027878,-0.132812,-0.172662,0.006892,-0.180224,0.016397,0.005387,0.014950,0.009270,0.012431,0.009223,0.016214,0.002025,0.006869,0.011126,0.021452,0.002821,0.013875,0.056637,0.004201,0.598927,0.056185,0.054547,0.453423,0.007987,0.109061,5.570126,1.578987,0.556475,0.591104,0.478235,0.593605,0.307669,0.353009,0.399831,0.396480,0.268008,0.266613,0.288162,0.025074,0.007173,0.018935,0.013451,0.019705,0.013723,0.021773,0.003464,0.014203,0.016056,0.031838,0.003533,0.010426,normal
0.092253,0.014523,2.843575,0.217238,0.230869,0.883174,0.008804,0.075817,-36.564190,1.237988,0.461254,0.352405,-0.059355,-0.254242,-0.267860,0.046060,-0.194544,-0.275502,0.024376,0.171314,-0.124042,0.012093,0.001745,0.013306,0.018909,0.021529,0.016590,0.020521,0.000517,0.003183,0.015861,0.026471,0.001774,0.016312,0.049268,0.024567,0.401425,0.043559,0.026260,0.431495,0.004583,0.054715,4.109955,1.096834,0.688961,0.507688,0.356975,0.276184,0.224053,0.225871,0.267366,0.226868,0.184417,0.232479,0.171502,0.016123,0.001946,0.014535,0.021642,0.016568,0.017634,0.018044,0.000417,0.002196,0.014944,0.024929,0.001049,0.007494,normal
0.089440,0.012251,2.716129,0.248630,0.232349,0.713999,0.010125,0.127382,-38.237717,2.661494,0.700916,0.502888,0.139509,0.060378,-0.151813,-0.163456,-0.256344,-0.371953,-0.299700,0.091533,0.185137,0.011329,0.002188,0.023531,0.048149,0.029884,0.039908,0.046405,0.000539,0.001655,0.009032,0.022167,0.001866,0.032616,0.057347,0.024558,0.510502,0.062620,0.051533,0.531375,0.004547,0.145616,4.442011,0.587422,0.437994,0.264659,0.555134,0.419002,0.213078,0.197317,0.136932,0.233542,0.260254,0.230058,0.207589,0.014463,0.003765,0.022309,0.045438,0.034838,0.039607,0.035405,0.000590,0.001562,0.012401,0.021427,0.002677,0.012957,normal
0.038018,0.020205,2.940784,0.141263,0.191017,0.223617,0.014053,0.032184,-29.919075,2.440982,-0.297240,0.428280,0.144353,0.040894,-0.047044,-0.118543,0.006941,-0.166030,-0.185611,-0.156282,-0.166196,0.032455,0.011913,0.029431,0.014090,0.046253,0.010159,0.033020,0.002975,0.005445,0.018482,0.017147,0.004638,0.030863,0.032452,0.022066,0.443102,0.091486,0.070033,0.276331,0.010054,0.024712,8.541295,0.815643,0.764502,0.339777,0.612638,0.451439,0.257181,0.307593,0.250157,0.256644,0.297279,0.255721,0.233418,0.032955,0.022442,0.028832,0.022653,0.047013,0.013260,0.029636,0.005966,0.008295,0.022727,0.016292,0.005478,0.010994,normal
0.022799,0.008075,2.712857,0.104561,0.173081,0.135785,0.012611,0.029537,-31.736772,2.709283,0.134915,0.514828,-0.089632,0.483057,0.128486,0.045065,0.037065,-0.074870,-0.204171,0.023617,-0.037487,0.017743,0.006191,0.055744,0.018600,0.054880,0.006215,0.038344,0.001847,0.002698,0.015077,0.030260,0.002856,0.029641,0.015726,0.012771,0.605246,0.050707,0.062930,0.172485,0.010967,0.021580,7.588684,0.842152,0.913166,0.678421,0.702959,0.438466,0.422135,0.296011,0.334103,0.280949,0.242768,0.278814,0.148751,0.020783,0.008871,0.039268,0.017440,0.056933,0.005601,0.030521,0.001969,0.002917,0.013845,0.035345,0.003427,0.011565,normal
0.054494,0.021114,2.793367,0.146374,0.203100,0.299581,0.017660,0.022256,-32.370331,2.610494,0.068089,0.640191,0.214910,0.032391,-0.042974,-0.206425,-0.010415,-0.106693,-0.008020,-0.097242,-0.029899,0.020439,0.002271,0.035980,0.036144,0.048274,0.018158,0.048580,0.005488,0.003949,0.009585,0.029396,0.001609,0.037165,0.079794,0.032849,0.651205,0.089120,0.044879,0.498204,0.015872,0.019387,8.894488,0.927360,0.928338,0.353493,0.360394,0.300955,0.474157,0.265230,0.278071,0.374873,0.229934,0.293571,0.314258,0.035680,0.002291,0.040026,0.062950,0.066529,0.027650,0.057322,0.012941,0.007959,0.018092,0.048509,0.002409,0.019112,normal
0.031091,0.006776,2.770592,0.101178,0.156933,0.243311,0.019652,0.054242,-30.139210,2.239452,0.803904,0.691853,-0.416589,0.219840,0.083983,-0.099168,0.056435,-0.108800,0.020704,0.075316,0.003602,0.014409,0.003874,0.046986,0.011492,0.017337,0.006991,0.039315,0.000902,0.006267,0.017314,0.076360,0.002814,0.034298,0.026982,0.006958,0.449351,0.036690,0.039412,0.410213,0.013613,0.065163,5.173528,0.948548,0.585238,0.633170,0.756921,0.396731,0.367270,0.344105,0.361092,0.230930,0.222079,0.400382,0.289417,0.013781,0.008314,0.051506,0.011129,0.015496,0.010266,0.040575,0.001374,0.007274,0.024241,0.084043,0.004457,0.024415,normal
0.061920,0.004754,2.817983,0.142766,0.172130,0.559759,0.008375,0.091171,-33.492037,1.928144,0.460533,0.462702,-0.050842,0.612241,0.065391,0.067250,0.134173,-0.041624,-0.079295,0.182599,0.003277,0.017286,0.002603,0.082173,0.005416,0.029819,0.009542,0.022036,0.002172,0.002469,0.006882,0.032237,0.002286,0.028548,0.071626,0.010418,0.460749,0.090188,0.068112,0.587978,0.007412,0.124541,7.860311,1.325498,0.536172,0.613284,0.319735,0.425975,0.197371,0.364042,0.268189,0.273023,0.244856,0.164317,0.273576,0.023748,0.003096,0.074429,0.004900,0.026315,0.010936,0.017306,0.002977,0.003645,0.005314,0.033766,0.002468,0.017616,normal
