@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normal,pause}

@DATA
0.132827,0.046252,3.078636,0.175111,0.229449,0.367196,0.010520,0.216228,-29.276661,2.332933,0.353626,0.543544,-0.306023,-0.424426,0.064910,0.191281,-0.328479,-0.204478,-0.121002,-0.063460,-0.078469,0.022013,0.001947,0.041255,0.033892,0.029012,0.018229,0.080914,0.000371,0.006374,0.012564,0.020381,0.001911,0.049320,0.083243,0.035047,0.187797,0.052513,0.034409,0.250630,0.007901,0.203775,3.028069,0.389226,0.323742,0.260091,0.212391,0.247351,0.185725,0.161387,0.249836,0.273799,0.196638,0.274304,0.248354,0.038679,0.002751,0.035206,0.038396,0.036920,0.028219,0.061360,0.000467,0.013923,0.016605,0.029492,0.003679,0.012918,normal
0.060288,0.035450,3.081800,0.107226,0.164947,0.156755,0.024163,0.072164,-26.803999,1.647299,0.008457,1.006246,-0.136514,-0.816200,-0.336570,0.162438,0.062133,-0.213564,-0.095991,-0.016634,0.164738,0.012195,0.003090,0.017503,0.026841,0.062390,0.007643,0.054911,0.000930,0.007950,0.010807,0.006227,0.004381,0.035749,0.052797,0.025212,0.218088,0.049350,0.046106,0.162746,0.011797,0.105104,3.576353,0.597360,0.560671,0.304821,0.243322,0.382718,0.185871,0.287829,0.370533,0.321640,0.263998,0.211138,0.205977,0.020289,0.003515,0.022869,0.035369,0.071079,0.006877,0.053463,0.001208,0.008208,0.013241,0.006230,0.007299,0.011330,normal
0.062245,0.055066,3.060142,0.125258,0.194372,0.243583,0.011696,0.135000,-26.205348,2.185148,0.519043,0.418863,-0.360159,0.050903,-0.582749,0.316167,0.122550,0.390762,-0.180063,0.247093,-0.056466,0.014688,0.003510,0.032212,0.009352,0.019283,0.011573,0.077663,0.000421,0.012361,0.036852,0.048635,0.006073,0.041997,0.047776,0.039197,0.365517,0.055594,0.055400,0.156656,0.006595,0.213240,4.228559,0.370680,0.239163,0.279117,0.217052,0.196449,0.302821,0.190614,0.179831,0.200570,0.226497,0.154374,0.156420,0.021252,0.004863,0.030220,0.019385,0.030967,0.027072,0.090139,0.000365,0.024507,0.036821,0.030795,0.010587,0.019094,normal
0.160585,0.024713,2.811635,0.182191,0.193744,0.862181,0.010712,0.214286,-27.144270,1.209870,-0.380866,-0.174288,-0.419359,0.291287,-0.069359,0.316435,0.232562,0.003094,-0.163366,-0.097722,-0.158339,0.022226,0.010303,0.016226,0.010843,0.012445,0.007105,0.036760,0.002008,0.002296,0.005337,0.011758,0.009915,0.016747,0.118921,0.032737,0.511265,0.087073,0.062848,0.627465,0.010687,0.221704,5.016663,1.350968,1.084085,0.563309,0.464812,0.381509,0.334083,0.393246,0.219896,0.216849,0.238907,0.259945,0.387011,0.030477,0.020483,0.015209,0.012343,0.013886,0.007712,0.050728,0.002164,0.002007,0.005277,0.010982,0.017289,0.013564,normal
0.115286,0.037064,2.733083,0.147766,0.196490,0.424545,0.007848,0.183798,-27.738240,1.028176,-1.344335,-0.437513,0.199901,-0.286920,0.112608,-0.039807,0.070555,-0.050622,-0.115791,0.085205,-0.091464,0.017601,0.016696,0.021073,0.013253,0.009059,0.005776,0.036017,0.006183,0.010839,0.005005,0.011272,0.010313,0.017769,0.105537,0.048893,0.557374,0.056455,0.062644,0.237120,0.004334,0.251415,5.867334,1.935960,0.922596,0.878578,0.606226,0.456001,0.235537,0.468012,0.324590,0.420961,0.401415,0.370000,0.294506,0.019918,0.015963,0.019051,0.010311,0.008519,0.004673,0.066644,0.007734,0.012892,0.003169,0.009713,0.011564,0.015088,normal
0.072368,0.035116,3.107463,0.119169,0.159067,0.434615,0.012149,0.122440,-25.688150,1.404796,-1.270148,-0.764331,0.371126,-0.634021,0.308765,0.102069,0.097968,-0.041352,-0.269232,-0.166099,-0.215956,0.024261,0.009068,0.012801,0.014163,0.010562,0.005873,0.034427,0.005026,0.004248,0.008692,0.023432,0.012740,0.021838,0.070495,0.029116,0.275914,0.047379,0.061088,0.210613,0.005619,0.168774,4.482180,1.265059,0.653009,0.614113,0.555860,0.442332,0.388799,0.457475,0.311772,0.228021,0.301823,0.367052,0.412032,0.030087,0.012635,0.013280,0.012629,0.015283,0.007116,0.070686,0.005464,0.005714,0.007847,0.039614,0.019111,0.017033,normal
0.205331,0.003551,2.820849,0.236887,0.254933,0.741508,0.008269,0.282668,-34.890070,1.309077,0.078324,0.348565,-0.297643,0.405892,0.076393,0.276916,-0.114156,0.251319,-0.056893,-0.146240,-0.023719,0.008610,0.003173,0.019437,0.005752,0.046455,0.004062,0.064521,0.003993,0.002392,0.004892,0.017162,0.002463,0.026566,0.111791,0.004145,0.293202,0.057520,0.043990,0.189634,0.004624,0.305922,3.918673,0.732862,0.458657,0.495386,0.311696,0.324247,0.187701,0.177015,0.171401,0.204213,0.237926,0.212041,0.125282,0.009887,0.003023,0.015757,0.008275,0.033425,0.003800,0.067966,0.004591,0.003280,0.003884,0.010598,0.002472,0.012917,normal
0.156628,0.008225,2.942370,0.196827,0.209888,0.841142,0.007617,0.300201,-29.373237,1.318442,-0.213136,-0.184764,-0.087217,0.039187,-0.190417,0.055080,-0.135764,-0.076287,-0.033785,0.019391,0.010549,0.007872,0.003102,0.014353,0.007787,0.014441,0.021478,0.087488,0.003190,0.003605,0.007234,0.011111,0.008734,0.031063,0.114414,0.013180,0.462275,0.076876,0.061719,0.619716,0.006502,0.256411,5.604216,1.260152,0.955083,0.525132,0.390156,0.426915,0.453418,0.287742,0.462563,0.372602,0.207569,0.276594,0.342660,0.008026,0.004355,0.016750,0.010795,0.016855,0.037865,0.111859,0.004762,0.005182,0.007142,0.012481,0.013668,0.027530,normal
0.082350,0.037799,2.759408,0.139185,0.170448,0.632876,0.011674,0.106106,-25.964192,0.311527,-1.088219,-0.956300,0.303965,-0.379181,-0.542501,-0.029301,-0.157532,0.066470,0.081441,0.420067,0.238411,0.014906,0.005504,0.005787,0.002846,0.006726,0.006844,0.022135,0.004209,0.011474,0.008469,0.009100,0.011301,0.012079,0.054183,0.044035,0.613319,0.039446,0.041937,0.402476,0.007140,0.075676,3.759320,1.463924,1.112992,0.643582,0.487720,0.469519,0.387058,0.317946,0.343039,0.427693,0.365668,0.347322,0.320729,0.021674,0.007399,0.010062,0.003232,0.005669,0.006987,0.037605,0.005318,0.016021,0.008944,0.010402,0.019757,0.010054,normal
0.097885,0.028244,2.973628,0.143855,0.165028,0.626842,0.011445,0.124750,-27.233564,-0.096097,-1.052253,-0.277071,-0.484118,-0.315627,-0.188980,0.310322,-0.024327,0.057988,-0.071017,0.141874,-0.120823,0.018472,0.016598,0.008671,0.007650,0.007900,0.012039,0.009025,0.003855,0.010527,0.004777,0.014390,0.008458,0.016289,0.073871,0.034359,0.391790,0.039784,0.032262,0.451216,0.008672,0.120740,3.109965,1.504891,0.620527,0.607472,0.609950,0.514126,0.540742,0.382764,0.433972,0.516383,0.464183,0.340166,0.249704,0.026295,0.027122,0.010705,0.009623,0.014101,0.017729,0.012461,0.006638,0.013256,0.005078,0.030962,0.015985,0.011764,normal
0.113458,0.027026,2.796627,0.152581,0.179987,0.641715,0.010888,0.216538,-26.984908,0.688200,-0.775205,-0.789190,-0.350316,0.037275,-0.274350,-0.003612,-0.007164,0.365045,0.218959,0.027764,-0.083003,0.017396,0.008608,0.015669,0.003710,0.007640,0.003875,0.044758,0.006796,0.011133,0.009097,0.014650,0.012191,0.022124,0.089200,0.037322,0.615196,0.059470,0.065456,0.392091,0.005526,0.243561,5.210846,1.556075,0.851156,0.566276,0.486547,0.609414,0.409587,0.513223,0.482624,0.450445,0.398784,0.413375,0.264383,0.026776,0.012503,0.021024,0.003848,0.010340,0.005543,0.077477,0.008333,0.015840,0.013331,0.020698,0.019209,0.017587,normal
